nohup: ignoring input
Head parameter counts at d=4:
  rank=0     8 params (VQC: 24)
  rank=1    16 params (VQC: 24)
  rank=2    24 params (VQC: 24)  <-- matches VQC exactly
  rank=4    40 params (VQC: 24)
  rank=8    72 params (VQC: 24)

Capacity sweep | 1000 cells | classical only, cached features
  device=cuda sha=ec5cae63
[246/1000] breastmnist n=100 s=1414 rank=0 auc=0.7830 f1=0.6857 ETA 0.2h
[247/1000] breastmnist n=100 s=1414 rank=1 auc=0.7882 f1=0.6991 ETA 0.2h
[248/1000] breastmnist n=100 s=1414 rank=2 auc=0.7926 f1=0.7057 ETA 0.2h
[249/1000] breastmnist n=100 s=1414 rank=4 auc=0.7847 f1=0.7092 ETA 0.2h
[250/1000] breastmnist n=100 s=1414 rank=8 auc=0.7026 f1=0.6692 ETA 0.2h
[266/1000] pneumoniamnist n=5 s=777 rank=0 auc=0.8661 f1=0.7626 ETA 0.2h
[267/1000] pneumoniamnist n=5 s=777 rank=1 auc=0.9261 f1=0.8407 ETA 0.2h
[268/1000] pneumoniamnist n=5 s=777 rank=2 auc=0.9266 f1=0.8398 ETA 0.2h
[269/1000] pneumoniamnist n=5 s=777 rank=4 auc=0.9264 f1=0.8378 ETA 0.2h
[270/1000] pneumoniamnist n=5 s=777 rank=8 auc=0.9076 f1=0.7997 ETA 0.2h
[271/1000] pneumoniamnist n=5 s=888 rank=0 auc=0.8995 f1=0.8102 ETA 0.2h
[272/1000] pneumoniamnist n=5 s=888 rank=1 auc=0.9045 f1=0.8136 ETA 0.2h
[273/1000] pneumoniamnist n=5 s=888 rank=2 auc=0.9077 f1=0.6567 ETA 0.2h
[274/1000] pneumoniamnist n=5 s=888 rank=4 auc=0.9079 f1=0.6567 ETA 0.2h
[275/1000] pneumoniamnist n=5 s=888 rank=8 auc=0.9112 f1=0.8169 ETA 0.2h
[276/1000] pneumoniamnist n=5 s=31337 rank=0 auc=0.9214 f1=0.7464 ETA 0.2h
[277/1000] pneumoniamnist n=5 s=31337 rank=1 auc=0.9165 f1=0.8142 ETA 0.2h
[278/1000] pneumoniamnist n=5 s=31337 rank=2 auc=0.9173 f1=0.7844 ETA 0.2h
[279/1000] pneumoniamnist n=5 s=31337 rank=4 auc=0.9169 f1=0.7844 ETA 0.2h
[280/1000] pneumoniamnist n=5 s=31337 rank=8 auc=0.8923 f1=0.7275 ETA 0.2h
[281/1000] pneumoniamnist n=5 s=8 rank=0 auc=0.8912 f1=0.4870 ETA 0.2h
[282/1000] pneumoniamnist n=5 s=8 rank=1 auc=0.8811 f1=0.7525 ETA 0.2h
[283/1000] pneumoniamnist n=5 s=8 rank=2 auc=0.9228 f1=0.6232 ETA 0.2h
[284/1000] pneumoniamnist n=5 s=8 rank=4 auc=0.9226 f1=0.5999 ETA 0.2h
[285/1000] pneumoniamnist n=5 s=8 rank=8 auc=0.9143 f1=0.7594 ETA 0.2h
[286/1000] pneumoniamnist n=5 s=271828 rank=0 auc=0.9091 f1=0.7439 ETA 0.2h
[287/1000] pneumoniamnist n=5 s=271828 rank=1 auc=0.8899 f1=0.7099 ETA 0.2h
[288/1000] pneumoniamnist n=5 s=271828 rank=2 auc=0.8997 f1=0.8087 ETA 0.2h
[289/1000] pneumoniamnist n=5 s=271828 rank=4 auc=0.8997 f1=0.8055 ETA 0.2h
[290/1000] pneumoniamnist n=5 s=271828 rank=8 auc=0.9053 f1=0.8330 ETA 0.2h
[291/1000] pneumoniamnist n=5 s=161803 rank=0 auc=0.8449 f1=0.6200 ETA 0.2h
[292/1000] pneumoniamnist n=5 s=161803 rank=1 auc=0.8870 f1=0.8034 ETA 0.2h
[293/1000] pneumoniamnist n=5 s=161803 rank=2 auc=0.8672 f1=0.6817 ETA 0.2h
[294/1000] pneumoniamnist n=5 s=161803 rank=4 auc=0.8373 f1=0.6808 ETA 0.2h
[295/1000] pneumoniamnist n=5 s=161803 rank=8 auc=0.9097 f1=0.8418 ETA 0.2h
[296/1000] pneumoniamnist n=5 s=1414 rank=0 auc=0.9254 f1=0.6054 ETA 0.2h
[297/1000] pneumoniamnist n=5 s=1414 rank=1 auc=0.8866 f1=0.6182 ETA 0.2h
[298/1000] pneumoniamnist n=5 s=1414 rank=2 auc=0.9055 f1=0.7938 ETA 0.2h
[299/1000] pneumoniamnist n=5 s=1414 rank=4 auc=0.9051 f1=0.7938 ETA 0.2h
[300/1000] pneumoniamnist n=5 s=1414 rank=8 auc=0.8216 f1=0.6807 ETA 0.2h
[301/1000] pneumoniamnist n=10 s=42 rank=0 auc=0.9031 f1=0.7887 ETA 0.2h
[302/1000] pneumoniamnist n=10 s=42 rank=1 auc=0.9224 f1=0.8329 ETA 0.2h
[303/1000] pneumoniamnist n=10 s=42 rank=2 auc=0.8987 f1=0.8034 ETA 0.2h
[304/1000] pneumoniamnist n=10 s=42 rank=4 auc=0.8978 f1=0.8003 ETA 0.2h
[305/1000] pneumoniamnist n=10 s=42 rank=8 auc=0.9103 f1=0.8151 ETA 0.2h
[306/1000] pneumoniamnist n=10 s=123 rank=0 auc=0.8975 f1=0.7553 ETA 0.2h
[307/1000] pneumoniamnist n=10 s=123 rank=1 auc=0.9045 f1=0.7211 ETA 0.2h
[308/1000] pneumoniamnist n=10 s=123 rank=2 auc=0.8523 f1=0.7178 ETA 0.2h
[309/1000] pneumoniamnist n=10 s=123 rank=4 auc=0.8519 f1=0.7178 ETA 0.2h
[310/1000] pneumoniamnist n=10 s=123 rank=8 auc=0.9086 f1=0.6834 ETA 0.2h
[311/1000] pneumoniamnist n=10 s=2026 rank=0 auc=0.8489 f1=0.4821 ETA 0.2h
